"Ubicazione","Quartiere","Zona","Sottoarea","lat","lon","AttivitÃ_prevalente","Row_Number"
"VIA LEANDRO ALBERTI, 89/2A","Santo Stefano","Murri","Esercizi di vicinato",44.48232467,11.37355293,"Carta e cancelleria",1242
"VIA DELLE LAME, 160/A","Porto - Saragozza","Marconi","Esercizi di vicinato",44.5019264,11.33339766,"Alimentari confezionati",1243
"VIA XXI APRILE 1945, 11/B","Porto - Saragozza","Costa Saragozza","Esercizi di vicinato",44.49142932,11.31948189,"Oggettistica",1244
"VIA DEL LAVORO, 54/C","San Donato - San Vitale","San Donato","Esercizi di vicinato",44.50750162,11.3564997,"Integratori alimentari",1245
"VIA LARGA, 21","San Donato - San Vitale","S. Vitale","Medie strutture di vendita",44.4973669,11.39396134,"Accessori - prodotti e alimenti per animali",1246
"VIA DELLE LAME, 31/C","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49756801,11.3364762,"Oggetti preziosi",1247
"VIA D'AZEGLIO, 15/F","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49247446,11.34188001,"Abbigliamento e accessori",1248
"VIA DI CORTICELLA, 207/18","Navile","Corticella","Esercizi di vicinato",44.53676681,11.3561636,"",1249
"VIA EMILIA LEVANTE, 6/5","San Donato - San Vitale","S. Vitale","Punti di vendita non esclusivi di quotidiani e/o periodici",44.484009,11.37390576,"",1250
"VICOLO RANOCCHI, 4/C","Santo Stefano","Galvani","Esercizi di vicinato",44.49380001,11.3444092,"Carne e prodotti a base di carne",1251
"VIA DEL PRATELLO, 5/A","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49567518,11.33595221,"",1252
"VIA EMILIA LEVANTE, 137","Savena","Mazzini","Esercizi di vicinato",44.47907054,11.38526401,"",1253
"VIA EMILIA PONENTE, 263","Borgo Panigale - Reno","S. Viola","Esercizi di vicinato",44.50916763,11.29586787,"",1254
"VIA DI CORTICELLA, 184/11","Navile","Corticella","Esercizi di vicinato",44.53351718,11.35402986,"Mobili",1255
"VIA DEL TERRAPIENO, 11/16","San Donato - San Vitale","S. Vitale","Ingrosso",44.49820133,11.37886098,"Bevande vini - olii - birra ed altre",1256
"VIA GIUSEPPE MASSARENTI, 398/E","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49381208,11.38062454,"Abbigliamento",1257
"VIA DELL'INDIPENDENZA, 30/A","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49809028,11.34331493,"Abbigliamento e accessori",1258
"VIA MAZZINI, 97","Santo Stefano","Murri","Esercizi di vicinato",44.48510506,11.370171,"Pane - pasticceria - dolciumi",1259
"VIA CARLO SIGONIO, 6/A","Santo Stefano","Murri","Esercizi di vicinato",44.48387844,11.37243003,"Abbigliamento",1260
"VIA GALLIERA, 31/B","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49932506,11.34257029,"",1261
"VIA ACHILLE CASANOVA, 1","Santo Stefano","Murri","Medie strutture di vendita",44.48101659,11.37582062,"Alimentari confezionati",1262
"VIA QUATTRO NOVEMBRE, 16/F","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49376892,11.34106843,"Prodotti tessili e biancheria",1263
"VIA PIER DE' CRESCENZI, 21","Porto - Saragozza","Saffi","Ingrosso",44.5029815,11.32928226,"Bevande vini - olii - birra ed altre",1264
"VIA PASUBIO, 82/2","Porto - Saragozza","Saffi","Esercizi di vicinato",44.49975646,11.31214566,"",1265
"VIA FILIPPO SCHIASSI, 58/A","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.48755909,11.37275741,"",1266
"VIA DON LUIGI STURZO, 5/B","Borgo Panigale - Reno","Barca","Esercizi di vicinato",44.49015538,11.30038859,"Accessori - prodotti e alimenti per animali",1267
"VIA GUELFA, 76/A","San Donato - San Vitale","S. Vitale","Medie strutture di vendita",44.49162401,11.38912688,"Articoli per l'igiene della persona",1268
"VIA GIUSEPPE MASSARENTI, 422/B","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49343632,11.38434867,"Gelati  torte  semifreddi",1269
"VIALE TITO CARNACINI, 41","San Donato - San Vitale","San Donato","Medie strutture di vendita",44.51319428,11.40321973,"",1270
"VIA GENUZIO BENTINI, 3/A","Navile","Corticella","Edicole",44.54248741,11.35615532,"",1271
"VIA DEL TRIUMVIRATO, 84","Borgo Panigale - Reno","Borgo Panigale","Esercizi di vicinato",44.52955642,11.29466912,"Latte e latticini",1272
"VIA NAZARIO SAURO, 7/A","Porto - Saragozza","Marconi","Esercizi di vicinato",44.4967876,11.33943143,"Abbigliamento e accessori",1273
"VIA FERRARESE, 71/B","Navile","Bolognina","Esercizi di vicinato",44.51129696,11.35014504,"Cartoleria",1274
"VIA XXI APRILE 1945, 7/H","Porto - Saragozza","Costa Saragozza","Esercizi di vicinato",44.49129084,11.32009849,"Ferramenta",1275
"VIA DE' POETI, 3","Santo Stefano","Galvani","Esercizi di vicinato",44.490476,11.34561035,"Abbigliamento",1276
"VIA EMILIA LEVANTE, 194/14","Savena","Mazzini","Esercizi di vicinato",44.47803463,11.38997845,"Arredo bagno",1277
"VIA MONDO, 2/C","San Donato - San Vitale","San Donato","Esercizi di vicinato",44.50163373,11.36583708,"Arredo bagno",1278
"VIA NORMANDIA, 12/D","Borgo Panigale - Reno","Borgo Panigale","Esercizi di vicinato",44.52220474,11.26370189,"Detersivi",1279
"VIA GIUSEPPE DAGNINI, 38/B","Santo Stefano","Murri","Esercizi di vicinato",44.48062545,11.37001646,"Cialde di caffe' the e tisane",1280
"VIA NOSADELLA, 7/C","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49281097,11.33550449,"Abbigliamento e accessori",1281
"PIAZZA MINGHETTI, 2/A","Santo Stefano","Galvani","Esercizi di vicinato",44.49189296,11.34499363,"Piante e fiori",1282
"VIA BELLARIA, 39/B","Savena","Mazzini","Esercizi di vicinato",44.47646364,11.38574933,"Articoli di tappezzeria",1283
"VIA FARINI, 19","Santo Stefano","Galvani","Esercizi di vicinato",44.49140864,11.34670035,"Abbigliamento",1284
"VIA TOSCANA, 149/2E","Savena","S. Ruffillo","Esercizi di vicinato",44.45411674,11.36644083,"",1285
"VIA AUGUSTO MURRI, 115/C","Santo Stefano","Murri","Esercizi di vicinato",44.47922216,11.36448522,"Elettrodomestici",1286
"VIA MARZABOTTO, 13","Porto - Saragozza","Saffi","Esercizi di vicinato",44.50191489,11.31173596,"Ottica",1287
"VIA UGO BASSI, 15","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49550885,11.33939843,"Abbigliamento e accessori",1288
"VIA PERSICETANA VECCHIA, 5","Borgo Panigale - Reno","Borgo Panigale","Esercizi di vicinato",44.53131098,11.26846163,"Autoveicoli e autoricambi",1289
"VIA FRATELLI ROSSELLI, 18/C","Porto - Saragozza","Marconi","Esercizi di vicinato",44.50365664,11.33795785,"Materiale hardware e software",1290
"VICOLO OTTO COLONNE, 4/A","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49705643,11.33625921,"Prodotti per la cosmetica",1291
"VIA DE' MUSEI, 6/B","Santo Stefano","Galvani","Medie strutture di vendita",44.49298761,11.34467861,"Abbigliamento",1292
"VIA DELL'INDIPENDENZA, 74/C","Porto - Saragozza","Marconi","Esercizi di vicinato",44.50293622,11.34473689,"Calzature e articoli in cuoio",1293
"VIALE GAETANO SALVEMINI, 25","Borgo Panigale - Reno","Borgo Panigale","Esercizi di vicinato",44.50422139,11.2799639,"Altro (vendita di una grande varietÃ  di prodotti non alimentari)",1294
"VIA MONTE GRAPPA, 12/A","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49563659,11.34066764,"Abbigliamento e accessori",1295
"VIA DELL'INDIPENDENZA, 33/A","Santo Stefano","Irnerio","Esercizi di vicinato",44.49816157,11.34367582,"Bibite pastigliaggi e snack",1296
"VIA LARGA, 38","San Donato - San Vitale","S. Vitale","Punti di vendita non esclusivi di quotidiani e/o periodici",44.50325237,11.39614058,"",1297
"VIALE ANTONIO SILVANI, 20","Porto - Saragozza","Saffi","Esercizi di vicinato",44.50213768,11.3320813,"Apparecchiature per condizionamento e riscaldamento",1298
"VIA OTTAVIANO MASCHERINO, 10","Navile","Bolognina","Punti di vendita non esclusivi di quotidiani e/o periodici",44.51045529,11.35556086,"",1299
"STRADA MAGGIORE, 67/B","Santo Stefano","Galvani","Esercizi di vicinato",44.49047073,11.35598795,"Abbigliamento e accessori",1300
"VIA PELLEGRINO TIBALDI, 23/A","Navile","Bolognina","Esercizi di vicinato",44.51157096,11.34362209,"Alimentari confezionati",1301
"VIA GIUSEPPE GRABINSKI, 1/E","Porto - Saragozza","Marconi","Phone center/Internet point",44.49814207,11.33869535,"",1302
"VIA QUATTRO NOVEMBRE, 14","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49371401,11.34139265,"",1303
"VIA MARSALA, 38/A","Santo Stefano","Irnerio","Esercizi di vicinato",44.49607615,11.34938804,"Cartoleria",1304
"GALLERIA 2 AGOSTO 1980, 3/A","Porto - Saragozza","Marconi","Esercizi di vicinato",44.5042829,11.34389966,"Abbigliamento e accessori",1305
"VIA BERTIERA, 2/2A","Santo Stefano","Irnerio","Esercizi di vicinato",44.49848584,11.34422705,"Sexy shop",1306
"VIA COMMENDA, 7","Borgo Panigale - Reno","Borgo Panigale","Ingrosso",44.53550668,11.27101781,"SEMENTI",1307
"VIA BELVEDERE, 15/A","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49648221,11.33784347,"Articoli per arredamento e ornamento della casa",1308
"VIA SPERANZA, 167/A","Borgo Panigale - Reno","S. Viola","Esercizi di vicinato",44.50448264,11.29494523,"Alimentari confezionati",1309
"VIA TINTORETTO, 5/A","Borgo Panigale - Reno","Barca","Esercizi di vicinato",44.49912895,11.2970256,"Articoli sportivi",1310
"PIAZZA GALVANI, 1/g","Santo Stefano","Galvani","Esercizi di vicinato",44.49214581,11.34344385,"Libri",1311
"VIA CLAVATURE, 8/A","Santo Stefano","Galvani","Esercizi di vicinato",44.49333729,11.34440273,"Abbigliamento",1312
"VIA PAOLO CANALI, 16","San Donato - San Vitale","San Donato","Esercizi di vicinato",44.51764583,11.41512621,"prodotti ortofrutticoli",1313
"VIA ANDREA DEL VERROCCHIO, 12/Q","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.4950225,11.38612831,"Prodotti ortofrutticoli",1314
"VIA STALINGRADO, 71/6","San Donato - San Vitale","San Donato","Esercizi di vicinato",44.51898252,11.36251019,"Abbigliamento",1315
"VIA GIUSEPPE PETRONI, 31/A","Santo Stefano","Irnerio","Esercizi di vicinato",44.49579994,11.35090486,"",1316
"VIA FRANCESCO ZANARDI, 70/B","Navile","Lame","Phone center/Internet point",44.51626504,11.32478017,"",1317
"VIA ENRICO MATTEI, 50/A","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49660144,11.40711802,"Autoveicoli e moto di grossa cilindrata",1318
"VIA S.STEFANO, 5/A","Santo Stefano","Galvani","Esercizi di vicinato",44.49300698,11.34723137,"Pasta fresca e prodotti da forno",1319
"VIA YURI GAGARIN, 8/C","Navile","Lame","Phone center/Internet point",44.51728686,11.33062315,"Schede telefoniche telefoni cellulari",1320
"VIA SARDEGNA, 11/A","Savena","Mazzini","Esercizi di vicinato",44.47566326,11.38377685,"Carne e prodotti a base di carne",1321
"VIA GIUSEPPE MASSARENTI, 242","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49349588,11.37400828,"Articoli cimiteriali e manufatti in marmo",1322
"VIA STALINGRADO, 25/A","San Donato - San Vitale","San Donato","Esercizi di vicinato",44.50838017,11.35614062,"Pane - pasticceria - dolciumi",1323
"PIAZZA MINGHETTI, 3/A","Santo Stefano","Galvani","Esercizi di vicinato",44.49199807,11.34503614,"Abbigliamento",1324
"VIA TOSCANA, 45/C","Savena","S. Ruffillo","Esercizi di vicinato",44.46645486,11.37054515,"Ferramenta",1325
"VIA MARSALA, 29/A","Santo Stefano","Irnerio","Esercizi di vicinato",44.49693134,11.34684833,"",1326
"VIA FIRENZE, 8/A","Savena","Mazzini","Esercizi di vicinato",44.47094515,11.38640108,"mobili",1327
"VIA SOLFERINO, 27","Santo Stefano","Galvani","Ingrosso",44.48784408,11.34229731,"Alimentari confezionati",1328
"VICOLO COLOMBINA, 5/C","Santo Stefano","Galvani","Esercizi di vicinato",44.49237744,11.34224286,"Piante e fiori",1329
"VIA ISABELLA ANDREINI, 30/C","San Donato - San Vitale","San Donato","Esercizi di vicinato",44.50145745,11.37378935,"Lane e Cotoni",1330
"VIA EMILIA PONENTE, 315/2","Borgo Panigale - Reno","Borgo Panigale","Medie strutture di vendita",44.51188341,11.28924098,"",1331
"VIA GIUSEPPE MASSARENTI, 242/B","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49349136,11.37404356,"Piante e fiori",1332
"VIA FILIPPO TURATI, 69/E","Porto - Saragozza","Costa Saragozza","Esercizi di vicinato",44.49116535,11.32135727,"",1333
"VIA AMEDEO LIPPARINI, 6/A","Navile","Corticella","Esercizi di vicinato",44.54092657,11.3572721,"Carne e prodotti a base di carne",1334
"VIA GIUSEPPE MASSARENTI, 54/G","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49331471,11.36022318,"",1335
"VIA GIUSEPPE MASSARENTI, 187/A","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49328715,11.38373829,"Prodotti ortofrutticoli",1336
"VICOLO BROGLIO, 1/E","Santo Stefano","Irnerio","Esercizi di vicinato",44.49412605,11.34925232,"Gadget",1337
"VIA DEGLI ORTI, 16/A","Santo Stefano","Murri","Esercizi di vicinato",44.47839829,11.36786498,"Prodotti ortofrutticoli",1338
"PIAZZA DI PORTA S.VITALE, 4","Santo Stefano","Irnerio","Esercizi di vicinato",44.49368221,11.35651621,"prodotti ortofrutticoli",1339
"VIA CALCAVINAZZI, 2/E","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49543654,11.34058067,"Abbigliamento intimo",1340
"VIA GENUZIO BENTINI, 17/B","Navile","Corticella","Esercizi di vicinato",44.54417361,11.35615175,"",1341
"VIALE ILIC ULJANOV LENIN, 4/A","Savena","Mazzini","Esercizi di vicinato",44.48099696,11.38254576,"Mobili",1342
"VIA MONTE GRAPPA, 26/A","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49569692,11.33955192,"Bigiotteria",1343
"PIAZZA CAVOUR, 5/a","Santo Stefano","Galvani","Esercizi di vicinato",44.49075379,11.34353937,"",1344
"VIA PIERO GOBETTI, 52/3","Navile","Bolognina","Esercizi di vicinato",44.51899949,11.33589835,"Articoli di cartoleria libri telefonia informatica fotografia",1345
"VIA GIUSEPPE MASSARENTI, 390","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49337566,11.37839767,"Motocicli ciclomotori e pezzi di ricambio",1346
"VIA CESARE BOLDRINI, 10/B","Porto - Saragozza","Marconi","Esercizi di vicinato",44.50447529,11.34062785,"Alimenti per animali confezionati",1347
"VIA RIZZOLI, 5/C","Santo Stefano","Galvani","Esercizi di vicinato",44.49435451,11.34490886,"Profumeria",1348
"VIA DEL BATTIFERRO, 5/A","Navile","Bolognina","Esercizi di vicinato",44.51573787,11.33759416,"Autoveicoli usati",1349
"VIA DELLE TOVAGLIE, 33/A","Santo Stefano","Galvani","Esercizi di vicinato",44.48859094,11.34220183,"Alimentari confezionati",1350
"VIA ILIO BARONTINI, 7/A","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49905321,11.36051337,"Abbigliamento e accessori",1351
"VIA ANDREA DA FAENZA, 37","Navile","Bolognina","Esercizi di vicinato",44.51650377,11.34558124,"Giocattoli",1352
"VIA DELL'ARCHIGINNASIO, 2/A","Santo Stefano","Galvani","Esercizi di vicinato",44.49297088,11.34366697,"Farmacia",1353
"VIA UGO BASSI, 8/B","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.4952799,11.33937348,"Abbigliamento e accessori",1354
"VIA S.FELICE, 26","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.4966954,11.33412316,"Abbigliamento e accessori",1355
"VIA BATTINDARNO, 12/D","Borgo Panigale - Reno","S. Viola","Esercizi di vicinato",44.50656023,11.30330534,"Latte e latticini",1356
"VIA UGO BASSI, 23","Porto - Saragozza","Marconi","Esercizi di vicinato",44.4958048,11.33815433,"Prodotti ortofrutticoli",1357
"VIA S.DONATO, 158/3B","San Donato - San Vitale","San Donato","Esercizi di vicinato",44.50846455,11.37765537,"Bibite pastigliaggi e snack",1358
"VIA UGO BASSI, 10/L","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49540226,11.33850298,"Integratori alimentari",1359
"VIA ERMANNO GALEOTTI, 15/A","San Donato - San Vitale","San Donato","Esercizi di vicinato",44.50226417,11.36472092,"",1360
"VIA GIOVAN BATTISTA MORGAGNI, 10/A","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49851535,11.33906197,"Settore non alimentare",1361
"VIA FARINI, 9/E","Santo Stefano","Galvani","Medie strutture di vendita",44.49133095,11.34459001,"Abbigliamento",1362
"VIA D'AZEGLIO, 80/B","Santo Stefano","Galvani","Esercizi di vicinato",44.48766808,11.3397446,"",1363
"VIA GUGLIELMO MARCONI, 67","Porto - Saragozza","Marconi","Esercizi di vicinato",44.50066796,11.33947483,"Alimentari confezionati",1364
"VIA LAURA BASSI VERATTI, 1","Santo Stefano","Murri","Edicole",44.48535389,11.36868871,"",1365
"VIA GUELFA, 76","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49159623,11.38920234,"Mobili",1366
"VIA BELLARIA, 42/B","Savena","Mazzini","Esercizi di vicinato",44.47536504,11.38868148,"",1367
"VIA DELLA LIBERAZIONE, 1","Navile","Bolognina","Esercizi di vicinato",44.51086989,11.3559208,"Autoveicoli e moto di grossa cilindrata",1368
"VIA LUIGI SERRA, 2/E","Navile","Bolognina","Esercizi di vicinato",44.50852404,11.3456451,"Profumeria",1369
"VIA DEGLI ORTI, 10/C","Santo Stefano","Murri","Esercizi di vicinato",44.47871895,11.36703639,"",1370
"VIA EMILIA PONENTE, 99","Borgo Panigale - Reno","S. Viola","Esercizi di vicinato",44.50602793,11.3084577,"Bevande vini - olii - birra ed altre",1371
"VIA GIUSEPPE ALBINI, 5/A","Santo Stefano","Murri","Esercizi di vicinato",44.47845171,11.36626636,"Bevande vini - olii - birra ed altre",1372
"VIA LOMBARDIA, 21/E","Savena","Mazzini","Esercizi di vicinato",44.4770375,11.38364576,"",1373
"VIA ARNO, 30","Savena","Mazzini","Esercizi di vicinato",44.47340539,11.38800263,"Cartoleria",1374
"VIA LOMBARDIA, 23/A","Savena","Mazzini","Esercizi di vicinato",44.47623045,11.38187396,"Prodotti tessili e biancheria",1375
"VIA S.STEFANO, 58/2A","Santo Stefano","Galvani","Esercizi di vicinato",44.48865833,11.35174444,"Oggetti preziosi",1376
"VIA ASIAGO, 29","Porto - Saragozza","Saffi","Ingrosso",44.49960581,11.31793639,"Prodotti ortofrutticoli",1377
"VIA DEI LAPIDARI, 13/D","Navile","Corticella","Ingrosso",44.53816893,11.34672975,"Carne e prodotti a base di carne",1378
"VIA GENUZIO BENTINI, 59/C","Navile","Corticella","Edicole",44.54764963,11.35683392,"",1379
"VIA S.STEFANO, 111","Santo Stefano","Galvani","Esercizi di vicinato",44.48638021,11.35376896,"Biciclette e accessori",1380
"VIA SARDEGNA, 3/A","Savena","Mazzini","Esercizi di vicinato",44.47628193,11.38336374,"Prodotti ortofrutticoli",1381
"VIA FERRARESE, 102/3A","Navile","Bolognina","Punti di vendita non esclusivi di quotidiani e/o periodici",44.51780361,11.35563124,"",1382
"VIA S.FELICE, 7","Porto - Saragozza","Marconi","Esercizi di vicinato",44.496135,11.33628289,"Casalinghi",1383
"VIA ALESSANDRO STOPPATO, 18/F","Navile","Corticella","Esercizi di vicinato",44.54297556,11.35728576,"",1384
"PIAZZA PORTA RAVEGNANA, 2/B","Santo Stefano","Irnerio","Esercizi di vicinato",44.49460826,11.34666088,"Gastronomia Salumeria",1385
"VIA NAZARIO SAURO, 16/A","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49670153,11.33922108,"Bevande vini - olii - birra ed altre",1386
"VIA FRANCESCO ZANARDI, 3/D","Porto - Saragozza","Saffi","Esercizi di vicinato",44.50312334,11.33301954,"Alimentari confezionati",1387
"VIA S.VITALE, 85","Santo Stefano","Irnerio","Esercizi di vicinato",44.49397271,11.35634912,"",1388
"VIA RIVA DI RENO, 43/B","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49851926,11.33644645,"Articoli idrotermosanitari",1389
"VIA DEL TRIUMVIRATO, 84","Borgo Panigale - Reno","Borgo Panigale","Esercizi di vicinato",44.52955642,11.29466912,"Abbigliamento",1390
"VIA DELLE LAME, 59","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49940349,11.3352788,"Gastronomia Salumeria",1391
"VIA GIORGIO VASARI, 30","Navile","Bolognina","Esercizi di vicinato",44.51779325,11.35190043,"Articoli di cartoleria libri telefonia informatica fotografia",1392
"VIA LUIGI TUKORY, 5/A","Savena","S. Ruffillo","Esercizi di vicinato",44.46383435,11.38022071,"Bevande vini - olii - birra ed altre",1393
"VIA S.CHIARA, 2","Santo Stefano","Murri","Ingrosso",44.48408696,11.35616625,"Bevande vini - olii - birra ed altre",1394
"VIA RIVA DI RENO, 120/C","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49886167,11.34150143,"Casalinghi",1395
"VIA DE' CARRACCI, 6/H","Navile","Bolognina","Esercizi di vicinato",44.50854988,11.33312096,"Integratori alimentari",1396
"VIA GIOVANNI AMENDOLA, 15/C","Porto - Saragozza","Marconi","Esercizi di vicinato",44.50490283,11.34142986,"prodotti ortofrutticoli",1397
"VIA GIUSEPPE DAGNINI, 12/2A","Santo Stefano","Murri","Esercizi di vicinato",44.47782149,11.36827732,"",1398
"VIA FERRARESE, 12/A","Navile","Bolognina","Esercizi di vicinato",44.51183256,11.34902397,"",1399
"GALLERIA CAVOUR, 3","Santo Stefano","Galvani","Esercizi di vicinato",44.49240162,11.34395235,"Abbigliamento",1400
"VIA S.FELICE, 165/B","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49907361,11.32793561,"Alimentari confezionati",1401
"VIA GALLIERA, 23","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49872717,11.34233942,"",1402
"VIA VITTORIO VENETO, 16/C","Porto - Saragozza","Saffi","Esercizi di vicinato",44.49942258,11.32058583,"Oggetti preziosi",1403
"VIA GIOVANNI AMENDOLA, 7/D","Porto - Saragozza","Marconi","Esercizi di vicinato",44.50369009,11.34085671,"Alimentari confezionati",1404
"STRADA MAGGIORE, 11","Santo Stefano","Galvani","Medie strutture di vendita",44.49360855,11.3478074,"",1405
"VIA S.VITALE, 74/C","Santo Stefano","Irnerio","Phone center/Internet point",44.49419658,11.35318141,"Schede telefoniche telefoni cellulari",1406
"VIALE ZAGABRIA, 6/A","San Donato - San Vitale","San Donato","Esercizi di vicinato",44.50775919,11.37816799,"Latte e latticini",1407
"VIA DON GIOVANNI VERITA', 8/A","Navile","Bolognina","Esercizi di vicinato",44.51829265,11.3390518,"prodotti ortofrutticoli",1408
"VIA DELLE FONTI, 61/H","Navile","Corticella","Esercizi di vicinato",44.54830976,11.35485126,"Alimentari confezionati",1409
"VIA CARLO ALBERTO PIZZARDI, 39/A","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.48975046,11.36863741,"Accendini",1410
"VIA DEL TRIUMVIRATO, 84","Borgo Panigale - Reno","Borgo Panigale","Esercizi di vicinato",44.52955642,11.29466912,"Abbigliamento e accessori",1411
"VIA AURELIO SAFFI, 26/A","Porto - Saragozza","Saffi","Esercizi di vicinato",44.50085857,11.32219958,"Schede telefoniche telefoni cellulari",1412
"VIA OLEARI, 4/A","Porto - Saragozza","Marconi","Esercizi di vicinato",44.49535943,11.34103335,"Abbigliamento",1413
"PIAZZA DI PORTA MASCARELLA, 8/A","Santo Stefano","Irnerio","Medie strutture di vendita",44.50178752,11.3526944,"Mobili",1414
"VIA UGO BASSI, 23","Porto - Saragozza","Marconi","Esercizi di vicinato",44.4958048,11.33815433,"",1415
"VIA FARINI, 9/H","Santo Stefano","Galvani","Esercizi di vicinato",44.49133854,11.34470263,"Abbigliamento e accessori",1416
"PIAZZA DELL'OTTO AGOSTO, 5/C","Santo Stefano","Irnerio","Esercizi di vicinato",44.50063172,11.34476683,"Materiale hardware e software",1417
"VIALE DELLA REPUBBLICA, 33/C","San Donato - San Vitale","San Donato","Esercizi di vicinato",44.50746925,11.36063467,"Gelati  torte  semifreddi",1418
"VIA DI CORTICELLA, 68","Navile","Bolognina","Esercizi di vicinato",44.51547635,11.34748009,"",1419
"VIA FRANCESCO ZANARDI, 35/2","Navile","Lame","Medie strutture di vendita",44.51072782,11.32891319,"Abbigliamento",1420
"VIA DI CORTICELLA, 19/D","Navile","Bolognina","Esercizi di vicinato",44.51348062,11.34758952,"Schede telefoniche telefoni cellulari",1421
"VIA GUELFA, 76","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49159623,11.38920234,"Motocicli ciclomotori e pezzi di ricambio",1422
"VICOLO CATTANI, 5/B","Santo Stefano","Irnerio","Esercizi di vicinato",44.49816579,11.34469659,"Articoli per arredamento e ornamento della casa",1423
"VIA S.DONATO, 186","San Donato - San Vitale","San Donato","Esercizi di vicinato",44.51781119,11.39560872,"Accessori - prodotti e alimenti per animali",1424
"VIA GEROLAMO SAVONAROLA, 4","Borgo Panigale - Reno","Borgo Panigale","Esercizi di vicinato",44.520378,11.26908281,"Alimentari confezionati",1425
"VIA BRENTA, 1/D","Savena","Mazzini","Esercizi di vicinato",44.47587909,11.3862587,"Abbigliamento",1426
"VIA RIALTO, 32/C","Santo Stefano","Galvani","Esercizi di vicinato",44.48797804,11.34899098,"Bigiotteria",1427
"VIA MAZZINI, 117/G","Santo Stefano","Murri","Esercizi di vicinato",44.48431597,11.37226028,"Ottica",1428
"GALLERIA VIALARGA, 10","San Donato - San Vitale","S. Vitale","Esercizi di vicinato",44.49773645,11.39078225,"Telefoni cellulari ed accessori",1429
"VIA FRANCESCO ZANARDI, 186/C","Navile","Lame","Esercizi di vicinato",44.522853,11.3194971,"Carne e prodotti a base di carne",1430
"VIA EMILIA PONENTE, 88","Borgo Panigale - Reno","S. Viola","Esercizi di vicinato",44.50726057,11.3039276,"Prodotti  estetica e parrucchiere",1431
"VIA EDOARDO COLLAMARINI, 24/B","San Donato - San Vitale","S. Vitale","Ingrosso",44.4961845,11.39790487,"Alimentari confezionati",1432
"VIA DOMENICO ZAMPIERI, 41/A","Navile","Bolognina","Esercizi di vicinato",44.50979893,11.34105803,"Abbigliamento",1433
"VIA S.VITALE, 96/A","Santo Stefano","Irnerio","Esercizi di vicinato",44.49414875,11.35454138,"Detersivi",1434
"VIA COLLEGIO DI SPAGNA, 1","Porto - Saragozza","Malpighi","Esercizi di vicinato",44.49131908,11.33969619,"",1435
"VIA ANTONIO CAVALIERI DUCATI, 2/F","Borgo Panigale - Reno","Borgo Panigale","Esercizi di vicinato",44.51850099,11.27083446,"Articoli di tappezzeria",1436
"STRADA MAGGIORE, 29","Santo Stefano","Galvani","Esercizi di vicinato",44.49264098,11.35017189,"Oggettistica",1437
"VIA DELL'INDIPENDENZA, 60","Porto - Saragozza","Marconi","Esercizi di vicinato",44.50083245,11.344152,"Ottica",1438
"CORTE DE' GALLUZZI, 8/B","Santo Stefano","Galvani","Esercizi di vicinato",44.492035,11.34198792,"Abbigliamento",1439
"VIA DI CORTICELLA, 68","Navile","Bolognina","Punti di vendita non esclusivi di quotidiani e/o periodici",44.51547635,11.34748009,"",1440
